text,intent
can you read my shopping list to me,shopping_list
"my check engine light has switched on, schedule someone to inspect it",schedule_maintenance
i wish to request a change in insurance plans,insurance_change
i need to know what the visa card credit limit is,credit_limit
i need a good joke about office parties,tell_joke
will you summarize my health benefits,insurance
why is there a hold on my charles swab account,account_blocked
what kind of plug type do they use in russia,plug_type
who made this ai,who_made_you
can you make your accent british male,change_accent
what are the reviews like at minnis,restaurant_reviews
help me figure out getting new insurance,insurance_change
what are the steps for setting up direct deposit for my paycheck,direct_deposit
"in boston, what are the best pizza places",restaurant_suggestion
how busy does outback get around 7pm,how_busy
what type of questions may i ask you,what_can_i_ask_you
share my gps coordinates with kelly,share_location
can you find music by slow magic to put on,play_music
do i need a socket converter if i'm going to be in germany,plug_type
"yes, that's it",yes
make a new alarm for 6 in the morning,alarm
"please stop calling me dave, my name's bob",change_user_name
can you find me a recipe for sugar cookies,recipe
what's the traffic like around the stadium,traffic
how long will it take to drive to the kroger in westwood,distance
how much longer until i have to change my tires,tire_change
what's there to do in seattle,travel_suggestion
i'd like to reserve a high-end car that seats 5 comfortably for april 12th through 18th for st louis missouri,car_rental
does myanmar have any travel alerts i should be aware of,travel_alert
could you please get out of whisper mode,whisper_mode
book a flight from la to madrid with southwest,book_flight
add bread to my list of things to buy,shopping_list_update
when's payday,payday
my names carrie,change_user_name
make sure april 1 is clear on my calendar,calendar_update
can you tell where my package is,order_status
what is my current fuel level,gas
do i need to change my oil,oil_change_when
i need to know my rewards balance on my discover card,rewards_balance
what is the meaning of interorganizational,definition
i need to get my oil changed,schedule_maintenance
is traveling to dublin safe (will dublin be safe),travel_alert
can x’s music be played,play_music
what day will i get paid,payday
what are good restaurants in reno that serve sushi,restaurant_suggestion
tell me what my calendar looks like for march 12th,calendar
please get me an uber to get to the movies,uber
tell me ths pressure of my tires,tire_pressure
read to me my to do list,todo_list
savings account balance at chase bank please,balance
get connected to my phone,sync_device
tell me a fun fact about tigers,fun_fact
new playlist that i will add god's plan to,update_playlist
what is the square root of 10500,calculator
find something fun for me to do in dallas,travel_suggestion
add soda on my shopping list and remove carrots,shopping_list_update
explain to me how transferring my 401k works,rollover_401k
does my shopping list have tomato written on it,shopping_list
i don't remember where my phone is,find_phone
come again with that,repeat
how exactly do i find my credit score,credit_score
do you have the date,date
can i have a table held at the outback steakhouse for johnson at 5,restaurant_reservation
so are you real,are_you_a_bot
i want you to disconnect from my phone,sync_device
when can i expect my new card to get here,replacement_card_duration
what ingredients do i need to make pancakes,ingredients_list
what is my next day off,next_holiday
what's my limit on my visa card,credit_limit
how much am i getting back from work,income
uh-huh,yes
"""please contact my credit card company to report fraudulent activity on",report_fraud
can you change the volume to 4,change_volume
are there any fun tourist things to do in boston,travel_suggestion
what's the point of sentience,meaning_of_life
whats lifes meaning exactly,meaning_of_life
do i already have a task on my todo list to research delaware,todo_list
what questions are permissible,what_can_i_ask_you
look my location up on the map,current_location
add mom's birthday to my calendar on april 12,calendar_update
can you add cherrios to my shopping list,shopping_list_update
i think my luggage has been lost,lost_luggage
please reserve me a table at hell's kitchen on may 3rd at 8 pm,restaurant_reservation
can you fast forward to the next song,next_song
what do you mix to make a chocolate cake,ingredients_list
how old are you again,how_old_are_you
will it be okay for me to eat my leftover turkey from monday that's been in my fridge,food_last
can you give me a thai dinner suggestion,meal_suggestion
i need the routing number to my chase checking account,routing
i will need an uber for 2 people to get to philadelphia,uber
the reservation i have isn't needed any more,cancel_reservation
what's a good place to eat chinese in san francisco,restaurant_suggestion
is mexico a safe place,travel_alert
when do i need my next oil change,oil_change_when
"what you are doing is not actually helpful, please cancel the action",cancel
find out how much of my pto is already used,pto_used
i'd like to cancel the party of 7 we reserved at the olive garden,cancel_reservation
"i need a van that seats 8 or more for new york city, august 12th, 13th, and 14th",car_rental
make me a reservation for 5 at coral for 10 pm immediately,restaurant_reservation
how high is my credit limit for my childrens place card,credit_limit
will a loan lower my credit score,improve_credit_score
could you get everything on my shopping list,order
"sorry, you can actually stop that",cancel
"if i'm trying to get to heinz field, how long would it take by bus",distance
what holiday's are comming up next,next_holiday
i'm going to start calling you alice,change_ai_name
please go to factory settings now,reset_settings
can i get a credit limit raise on my credit card,credit_limit_change
would you say i need new tires if i last bought them on the 24th,tire_change
can you please turn on my furnace,smart_home
what is the expiration date on my card,expiration_date
hop to the next one,next_song
alert my bank and let them know that i'm travelling to madrid,travel_notification
tell me the date of my last car check up,last_maintenance
nutritional information for celery,nutrition_info
i'd like a reservation for 2 at olive garden for 5 pm today,restaurant_reservation
you refer to me as what,user_name
i need a rental car,car_rental
how do i jump start the car,jump_start
what's the next scheduled holiday at this job,next_holiday
what's the nutritional info for a ganola bar,nutrition_info
how is everything with you,greeting
thanks for talking,goodbye
what types of things are you able to do,what_can_i_ask_you
"i need some more lysol, could you order me some",order
what is my health plan,insurance
forget this song and go to the next,next_song
scratch,cancel
i want to schedule somewhere get my tires checked out,schedule_maintenance
how long has it been since my last auto maintenance,last_maintenance
do i need to read any travel alerts for kenya,travel_alert
show me some things to do in gatlinburg,travel_suggestion
what are the gps coordinates where i am located,current_location
tell me the exact amount of pto i have used,pto_used
do i need an international visa to go to brazil,international_visa
how many swedish kroner do i get for a dollar,exchange_rate
