text,intent
can you switch to the female voice,change_accent
are you my worker,who_do_you_work_for
can you check and see how much i owe on my cable bill,bill_balance
give me the next song,next_song
calorie count of cheetos,calories
the name i go by is sandy,change_user_name
can you assure me i have a table at taco bell at 7pm,confirm_reservation
number for aaa to help with dead car battery,jump_start
how come my card was not accepted yesterday,card_declined
how long do you need to bake chicken for it to be safe to eat,cook_time
where on the cheerios box are the nutrition facts,nutrition_info
"hello, what's up",greeting
did i had my wife and mine anniversary to my calendar,calendar
can someone look at my car cause the check engine light is on,schedule_maintenance
what's the balance on my bank account,balance
are you working for me,who_do_you_work_for
how are my tires,tire_pressure
show me what's on the shopping list,shopping_list
what is my balance in checking account,balance
what ingredients are in salsa,ingredients_list
exit out of whisper mode,whisper_mode
i need an italian meal suggestion,meal_suggestion
does germany have any travel alerts i should be aware of,travel_alert
i can't find any of my luggage!,lost_luggage
what will the weather be this weekend,weather
can i change my pin number,pin_change
may i take a pto on february 7 and 8,pto_request
can you please slow down,change_speed
"no, that is not right",no
could you let me know what names you have for me,user_name
how much are my state taxes,taxes
what is the weather outlook for seattle,weather
"find me a flight from nyc to la on march 1, returning on march 5",book_flight
you got it,yes
in what timezone is nigeria,timezone
tell me something interesting about sperm whales,fun_fact
i'm ready to put in the order for everything on my shopping list,order
traffic looking alright going towards burger king,traffic
what would i need if i wanted to make chicken marsala,ingredients_list
how are my state taxes looking,taxes
i'd like to pay my coned bill,pay_bill
i suspect some suspicious activity,report_fraud
what is the total amount due on my electricity bill,bill_balance
do i need any shots before i go to south africa,vaccines
can you search for the best new york style cheesecake recipes please,recipe
my bags didn't make it to the new orleans airport,lost_luggage
help me report a lost card,report_lost_card
would you provide me with italian cuisine dinner suggestions,meal_suggestion
transfer 100 dollars checking to savings,transfer
can i redeem my credit card on safeway,redeem_rewards
how many pesos in one dollar us,exchange_rate
how long before my amex card expires,expiration_date
order status,order_status
go back to initial factory state,reset_settings
cancel my reservation for 4 at red robin,cancel_reservation
what are common illnesses i should be vaccinated against when leaving the united states,vaccines
i'm out of here,goodbye
are the reviews for chevy's any good,restaurant_reviews
tell me something funny about love,tell_joke
how can i find my current location,current_location
how much vacation have i already used this year,pto_used
what ingredients do i need to bake a cake,ingredients_list
do i need a visa to travel to isreal,international_visa
are there any good chinese restaurants open right now,restaurant_suggestion
how many vacation days do i have saved,pto_balance
i wanna know my next paycheck,payday
what is the projected time frame for the flight to land,flight_status
how much time does it take to get to levi stadium from san jose airport,distance
how many calories does a scoop of chocolate ice cream have,calories
what is the date of my last paycheck,payday
what's the routing number for my navy federal account,routing
what is the word for hello spanish,translate
send mom a text i'll talk to you later,text
what mexican restaurant within 5 miles has the best reviews,restaurant_suggestion
what will you refer to me as,user_name
i need to know the carry-on restrictions for united airlines,carry_on
does my checking interest rate seem low,interest_rate
what's the least i can pay on the medical payments for february,min_payment
"ai, go ahead and roll the dice",roll_dice
my name is steve,change_user_name
"what is 10 ounces in grams, please",measurement_conversion
"can you tell me how to say 'i do not speak much spanish', in spanish",translate
is there are limit of carry ons for my flight with aer lingus to cork,carry_on
"i'd like a placed booked in san diego from may 1st, 2020 to june 2nd, 2020",book_hotel
what are the main attractions in gatlinburg,travel_suggestion
i want to hear a male british accent,change_accent
abort,cancel
can i increase the credit limit on my walmart card,credit_limit_change
how good is the apr on my mastercard compared to others,apr
what time is it in russia,time
skip to the next song,next_song
i would like to set up direct deposit,direct_deposit
would you repeat what you just said,repeat
what time is it in london,time
will cracker barrel be crowded around five this evening,how_busy
i need a room in indianapolis near the track from may 2nd through the 5th,book_hotel
i need to know how many vacation days i have used up please,pto_used
can i up my credit limit to $1000,credit_limit_change
tell me how to get my 401k rolled over,rollover_401k
how do i inform my bank i'm going to paris,travel_notification
please schedule an event called 'nadine's baby shower' on my calendar,calendar_update
what shots do i need to get in order to travel to khartoum,vaccines
did i remember to put milk in the shopping list,shopping_list
how long will a bus ride take if i'm going to the capitol building,distance
give me a list of international transaction fees for my amex,international_fees
whats 5 feet in inches,measurement_conversion
start a new text to maureen and tell her i go mom's christmas present,text
walk me through the process of cashing in on credit card points,redeem_rewards
move on to the next song,next_song
please inform me what is showing on my calendar for the 17th of march,calendar
how healthy are apples,nutrition_info
is there enough money in my discover account for airplane tickets,balance
my chase account has a hold why,account_blocked
i jot got hired and need help with my retirement account,rollover_401k
when will my next paycheck come,payday
israel has strict restrictions do i need a visa to travel there,international_visa
can you have some new oakley's shipped to me,order
what's the traffic like on the way to patterson,traffic
whats my name saved under,user_name
get rid of my reservation at chez francois for jennifer,cancel_reservation
how do you say hello in french,translate
please call me bob,change_user_name
search my calendar for birthday,calendar
how to keep my credit score from going down,improve_credit_score
i no longer need to go to the zoo on the 8th of this month,calendar_update
schedule an uber for 3 to go to the airport,uber
i need my luggage that your airline lost it was flight abc123 and now it’s suddenly missing,lost_luggage
tell me how the russians say notebook,translate
i need to send a text,text
when do you think i should replace my tires because i replaced them on 12/21/17,tire_change
you working for someone else on the side,who_do_you_work_for
what type of gas does this car need,gas_type
replay what you just said,repeat
would you say you like dogs more or cats more,do_you_have_pets
change the pin on my capital one account to be 1234,pin_change
what's the currency conversion between rubles and yen,exchange_rate
if you had to say who you worked for who would it be,who_do_you_work_for
book me a flight from o'hare to las vegas on deltacom,book_flight
i want an update on my application for a credit card that i sent in a couple weeks ago,application_status
what can i make for dinner,meal_suggestion
when does the replacement card arrive,replacement_card_duration
please send a text,text
what is the minimum i have to pay on my chase card,min_payment
please order everything you see on my shopping list,order
what foods do i buy to put into a korean dinner,ingredients_list
start up some music,play_music
how good are the ratings for papa john's,restaurant_reviews
what country do you consider yourself a citizen of,where_are_you_from
tell what is showing on my calendar for the 17th of march,calendar
what's my visa limit,credit_limit
my credit card application has what status,application_status
could you tell me today's date,date
give me current gps coordinates to my sister,share_location
which company can i credit your design to,who_made_you
i wish i knew how to spell mississippi,spelling
how do i put in a pto request for the first to the ninth,pto_request
that's a possibility,maybe
is it possible to make a reservation at redrobin,accept_reservations
update me on my delta flight please,flight_status
can you tell me today's date,date
what day is it gonna be in twenty-one days,date
lets just play the next song please,next_song
do you know where i can find my suntrust routing number,routing
let me know the amount i spent on food last month,spending_history
i need to report my stolen card,report_lost_card
help me figure out the meaning of life,meaning_of_life
where's your birthplace,where_are_you_from
what is my current fuel level,gas
can you please add take out recycling on my list of chores to complete,todo_list_update
"in osaka, do i need a plug converter for my electronics",plug_type
share my gps coordinates with my brother,share_location
would you say that my card's apr is,apr
do i have enough credit card points to redeem a new appliance,redeem_rewards
what steps do i take if there is a transaction that i do not recognize on my navy federal credit union account,report_fraud
i'm lost,current_location
add this song to my jazz playlist,update_playlist
"what are some fun things to do in butte, montana",travel_suggestion
is it acceptable to swap salt for baking soda,ingredient_substitution
give a text to my cousin linda that says happy birthday,text
set up a reminder to give the cat her flea medicine,reminder_update
help me find things to do in nashville,travel_suggestion
should i be concerned about the air in my tires,tire_pressure
what name would you like me to call you,what_is_your_name
in which place were you made,where_are_you_from
please transfer my funds,transfer
when will it be in 10 days,date
what's the procedure to get cash back rewards on my visa,redeem_rewards
i need an uber to take me to the mall,uber
tell me the number of calories in a banana,calories
fill me in on the apr for my american express card,apr
tell me what is on my to do list,todo_list
i want you to play the next song on this playlist,next_song
what's the current weather situation for tallahassee,weather
text audrey and tell her i will be there soon,text
what date will my card be here,replacement_card_duration
what created you,who_made_you
i need you to tell me my salary,income
show me recent transactions,transactions
will there be a wait time at this restaurant,how_busy
add bread to my list of things to buy,shopping_list_update
i'd like you to tell me a joke,tell_joke
"on my to do list, add exercising",todo_list_update
what do you like to do when you're not working,what_are_your_hobbies
put $40 from account a to b,transfer
how do you make pot roast,recipe
"if you're in melbourne, what timezone are you in",timezone
call robby,make_call
what is the meaning of the word slander,definition
suggest a meal from korea to me,meal_suggestion
how long until i reach my destination,distance
i want to change your name to emma,change_ai_name
how long will it take for me to get to red robin in san diego,distance
