text,intent
what's the calorie info for 2 cups of regular chex mix,calories
the name i go by is sandy,change_user_name
what hour and minute is it,time
let me know if i need an international visa to go to sudan,international_visa
when will my new card come in the mail,replacement_card_duration
delete that event from calendar,calendar_update
how can i set up a direct deposit with my checking account,direct_deposit
is respond to the professor's email on my list of reminders,reminder
how good are the ratings for papa john's,restaurant_reviews
my card is lost how do i report it,report_lost_card
tell me how to locate the interest rate for my jonah account,interest_rate
tell me something fun about gravity,fun_fact
help me get access to my recent transaction history,transactions
please play the song that goes like hey jude don't make it bad,play_music
can you make an alarm for 7 am,alarm
can i get a credit increase for my visa,credit_limit_change
will i be safe while traveling to lyon (will you be safe),travel_alert
are there any travel alerts for china,travel_alert
find out how much of my pto is already used,pto_used
please run a timer for me,timer
"i lost my card, how should i report that",report_lost_card
i think there's a fraudulent transaction on my account,report_fraud
does acero in maplewood allow reservations,accept_reservations
how long is it until my credit card expires,expiration_date
check if getting a light bulb is on my list of reminders,reminder
is it okay to switch water for milk,ingredient_substitution
what's the name of the company that designed you,who_made_you
are you able to purchase underpants for me,order
what's my going out to eat tab this month vs last month,spending_history
turn the volume to 4,change_volume
when should i get new tires,tire_change
my checking account has a hold on it and i need to know why,account_blocked
i've had eggs in the fridge since monday are they safe eat,food_last
what is hello in french,translate
check and confirm reservations at ruth chris for carol lee,confirm_reservation
can i improve my credit score,improve_credit_score
can you tell me what is included in my health benefits,insurance
why is there a hold on my charles swab account,account_blocked
the pets are all good,do_you_have_pets
abort,cancel
are there any good chinese restaurants open right now,restaurant_suggestion
i want a new motorcycle insurance plan,insurance_change
i want you to play the next song on this playlist,next_song
who is knocking,smart_home
what skills do you have,what_can_i_ask_you
tell me all about the creatures you own,do_you_have_pets
tell me if you are a real person or an ai,are_you_a_bot
can you show me how to change the oil for my car,oil_change_how
clear my calendar for the date of june 23,calendar_update
will i be able to order for more checkbooks for my chase bank account,order_checks
who are they that you work for,who_do_you_work_for
can you tell me today's rate for cad to usd,exchange_rate
your boss is who,who_do_you_work_for
what's the currency conversion between rubles and dollars,exchange_rate
my starbucks rewards balance is,rewards_balance
find out if la tour d'argent in paris takes reservations,accept_reservations
tell me what is showing on my calendar for the 17th of march,calendar
i'm i okayed for vacation time,pto_request_status
are there certain types of questions i can ask you,what_can_i_ask_you
can you check and see how much i owe on my cable bill,bill_balance
is it possible to book a room at the taco bell for reavers at 3,restaurant_reservation
what day is it tomorrow,date
i want to rollover my 401k but dont know how,rollover_401k
how can i find my routing number from bank of america,routing
tell me your brand,who_made_you
