text,intent
tell me the expiration date for my current credit card,expiration_date
would you disconnect from my phone,sync_device
could you please track my package,order_status
any travel alerts for canada,travel_alert
"i want to report fraudulent activity on my amex card, please",report_fraud
skip and play next song,next_song
i want volume set to 4,change_volume
can you tell me something i don't know about banks,fun_fact
"i don't have sour cream, can i use yogurt instead",ingredient_substitution
please find out if napolis takes lunch reservations,accept_reservations
please give me the minimum payment total for my sprint phone bill,min_payment
how much are the foreign transaction fees in brisbane,international_fees
i would like to pay my cell phone bill,pay_bill
let me know how low the air in my tires are,tire_pressure
what's going on with my order,order_status
how expensive is it to fuel this car,mpg
what is the current status of my vacation request,pto_request_status
how much will i pay in federal taxes,taxes
what is my name saved as in your system,user_name
how much did i get paid,income
is it possible to make an order for more checkbooks for my chase bank account,order_checks
i believe that my luggage was lost,lost_luggage
is my visa card's apr decent,apr
will this car run on the cheaper gas,gas_type
what is the turn around for a new card,replacement_card_duration
i don't know how to answer to that,maybe
would you help me set up direct deposit,direct_deposit
what's the balance on my sprint account,bill_balance
repeat that again,repeat
give me expected number of calories in a breakfast burrito,calories
what will the date be in 10 days,date
when was the last time my car was in the shop,last_maintenance
how long does it take to get to applebees in nj,distance
is it acceptable to swap milk for water,ingredient_substitution
bring the sound up,change_volume
is the processing done on my new credit card,application_status
"i'd like to rent a limo in las vegas from may 01, 2019 to may 03, 2019",car_rental
what are the carry on rules for united,carry_on
change the name that you call me,change_user_name
please book me a room in austin from tomorrow to the 2nd,book_hotel
set the alarm to go off at 9 tomorrow,alarm
i need to know the routing number for my wells fargo account,routing
i have suspicious charges on my discovery card,report_fraud
tell me united's carry on policy,carry_on
why is there a hold on my discover account,account_blocked
tell me the nutrition for grapes,nutrition_info
i need a reminder to remind me to do something,reminder_update
how long should this be in the oven,cook_time
i'm glad i got to talk to you,goodbye
tell me how much money i'm earning at my job,income
what's the nutritional value for a pizza lunchable,nutrition_info
yellow by coldplay to my playlist please,update_playlist
"it turns out i have had pizza in the fridge since monday, so is it safe to eat",food_last
"i'm not going to cook today, can you suggest a restaurant",restaurant_suggestion
text my dad for me and tell them i love you,text
how much did i spend on gas last week,spending_history
how long can pizza be in the fridge,food_last
how can i see my rewards for my visa card,rewards_balance
how much money was deposited to my bank account from my employer this month,income
how is your day,greeting
what's the next holiday,next_holiday
"never mind, don't do that",cancel
i want help adjusting my insurance policy,insurance_change
what timezone is china in,timezone
i don't have a clue,maybe
"how do they say ""who is your father"" in german",translate
i want to cash my credit card points,redeem_rewards
is there someone i can talk to since i am in the airport waiting for my luggage which never came,lost_luggage
do i have 30th birthday party on my calendar,calendar
what is my balance in checking account,balance
can you find out why is my bank account frozen,account_blocked
show my my minimum payment for youtube,min_payment
call an uber that fits 5 people that are on their way to wendys,uber
create a reminder to pay taxes on monday,reminder_update
are there international transaction fees for using my chase card,international_fees
are there extra fees for using my card in mexico,international_fees
can you schedule a meeting with john for 12,schedule_meeting
what is the traffic like on the way to north shore,traffic
what are the estimates for the car's highway mpg,mpg
book delta ticket madison to atlanta,book_flight
erase all items on my todo list,todo_list_update
im going to be in canada from august 10th until august 12th,travel_notification
