text,intent
please find the capital of pakistan and its population,oos
where is the dipstick,oos
when was the theory of evolution first considered,oos
what does my personality mean,oos
is it worth investing in target,oos
can you help me study for a history exam,oos
who's toledo's starting point guard for the next game,oos
what years has korea been at war,oos
can you list me tiger wood's stats,oos
what is the most popular airline,oos
how is glue made,oos
what's the runtime of all the lord of the rings movies combined,oos
which marvel character has appeared in the most movies,oos
what trees change color in autumn,oos
how long is winter,oos
how many people live in taiwan,oos
how expensive is an apple share,oos
what animals have alpha males,oos
what size wipers does this car take,oos
when did the mls start,oos
who are some notable alumni of ucsd,oos
when was nintendo created,oos
can you tell me something about the nfl,oos
what are some of picasso's most famous works,oos
what's the average battery life of an android phone,oos
how do i change my billing address,oos
get me dwight howard shooting average,oos
who formulated the theory of relativity,oos
what is the highest earning game on atari,oos
when's the next movie starring thor set to come out,oos
what do you call someone who was born in segovia,oos
how many planets have we discovered,oos
what are some ways to reduce spending,oos
where can i find the cruise control on my kia sportage 2010,oos
how much money does radiohead earn a year,oos
how many oscars did star wars films win,oos
how many sides are in a hexagon,oos
what were some of ben franklin's notable accomplishments,oos
how can i get involved in restaurant marketing,oos
do people prefer summer over fall,oos
what percentage of species display cold blooded traits,oos
which piano is best for classical,oos
what is the largest state in the us,oos
what is the current market trend,oos
what other nations were involved in the chinese trade war,oos
how much is an overdraft fee for bank,oos
what's the best price on super smash bros ultimate right now,oos
what city is the super bowl,oos
are you able to answer algebra equations,oos
what other personality type is most compatible with infjs,oos
what year was shawshank redemption released,oos
what's the most dominant scale in bluegrass,oos
how do i open an online line of credit,oos
who was the first capcom character,oos
any headlines from my area,oos
please explain the catch rule to me,oos
where can i see art,oos
what is the formula for the circumference of a circle,oos
what are van gogh's best pieces,oos
how do i remove a coffee blemish,oos
what year was star trek released,oos
who is the scariest character in start trek,oos
how many students attend ucsb,oos
how do i start my own marketing firm,oos
when was toyota created,oos
is k-12 education required outside of the united states,oos
how much is 1 share of aapl,oos
what are the benefits of completing college,oos
who is radiohead,oos
what is the next football game,oos
what is saas marketing,oos
what time does the louvre open,oos
how long do wire transfers take,oos
when do the utah jazz play next,oos
when is the next nintendo direct,oos
what team does eli mannign play for,oos
are any justice league movies coming out,oos
what stage of evolution am i,oos
is there overtime in college football,oos
why do males want to be alpha,oos
i need to speak to customer service regarding my flight,oos
who is the coach of the chicago bulls,oos
what's the biggest saas marketing company in the united states,oos
how many points per game is lebron james averaging this season,oos
how many players are on the chicago bulls,oos
what is rhineland,oos
are there any local stations covering the moral march in raleigh in februaryu,oos
who is the current captain of this ship,oos
where was john denver born,oos
how fast does an airplane travel,oos
what year was saxaphone first played,oos
when did camus die,oos
where did abraham lincoln live,oos
when do classes start,oos
how can i become an aerospace engineer,oos
which character is the most famous from titanic,oos
what does it mean to be an alpha male,oos
when was kobe bryant born,oos
why are exponents preformed before multiplication in the order of operations,oos
what are some deals on amazon,oos
