text,intent
what were some of ben franklin's notable accomplishments,oos
what is the largest state in the us,oos
what time does the louvre open,oos
how many people live in taiwan,oos
how do i remove a coffee blemish,oos
what size wipers does this car take,oos
what city is the super bowl,oos
when did the mls start,oos
how do i open an online line of credit,oos
what year was star trek released,oos
who is the scariest character in start trek,oos
who formulated the theory of relativity,oos
who is the coach of the chicago bulls,oos
any headlines from my area,oos
what does it mean to be an alpha male,oos
what is rhineland,oos
what animals have alpha males,oos
when's the next movie starring thor set to come out,oos
how much is an overdraft fee for bank,oos
how many planets have we discovered,oos
please explain the catch rule to me,oos
how much money does radiohead earn a year,oos
when was the theory of evolution first considered,oos
what is saas marketing,oos
how fast does an airplane travel,oos
how much is 1 share of aapl,oos
are there any local stations covering the moral march in raleigh in februaryu,oos
what is the highest earning game on atari,oos
do people prefer summer over fall,oos
what stage of evolution am i,oos
when is the next nintendo direct,oos
how many points per game is lebron james averaging this season,oos
which piano is best for classical,oos
where was john denver born,oos
who are some notable alumni of ucsd,oos
how many students attend ucsb,oos
how do i change my billing address,oos
what is the formula for the circumference of a circle,oos
when was kobe bryant born,oos
what's the best price on super smash bros ultimate right now,oos
can you help me study for a history exam,oos
how can i get involved in restaurant marketing,oos
who is radiohead,oos
are any justice league movies coming out,oos
are you able to answer algebra equations,oos
what are some deals on amazon,oos
when do classes start,oos
which character is the most famous from titanic,oos
what is the next football game,oos
how do i start my own marketing firm,oos
can you tell me something about the nfl,oos
what year was shawshank redemption released,oos
what does my personality mean,oos
who's toledo's starting point guard for the next game,oos
why are exponents preformed before multiplication in the order of operations,oos
is it worth investing in target,oos
when was toyota created,oos
where can i find the cruise control on my kia sportage 2010,oos
when was nintendo created,oos
what's the most dominant scale in bluegrass,oos
how is glue made,oos
how many oscars did star wars films win,oos
is k-12 education required outside of the united states,oos
how long do wire transfers take,oos
how many players are on the chicago bulls,oos
how long is winter,oos
what's the runtime of all the lord of the rings movies combined,oos
where did abraham lincoln live,oos
where is the dipstick,oos
what are van gogh's best pieces,oos
what's the biggest saas marketing company in the united states,oos
what is the most popular airline,oos
is there overtime in college football,oos
i need to speak to customer service regarding my flight,oos
what are some of picasso's most famous works,oos
where can i see art,oos
what trees change color in autumn,oos
which marvel character has appeared in the most movies,oos
who was the first capcom character,oos
what other nations were involved in the chinese trade war,oos
what do you call someone who was born in segovia,oos
can you list me tiger wood's stats,oos
why do males want to be alpha,oos
when did camus die,oos
please find the capital of pakistan and its population,oos
when do the utah jazz play next,oos
what team does eli mannign play for,oos
what are the benefits of completing college,oos
what are some ways to reduce spending,oos
what is the current market trend,oos
how expensive is an apple share,oos
what years has korea been at war,oos
what other personality type is most compatible with infjs,oos
how many sides are in a hexagon,oos
how can i become an aerospace engineer,oos
who is the current captain of this ship,oos
get me dwight howard shooting average,oos
what's the average battery life of an android phone,oos
what year was saxaphone first played,oos
what percentage of species display cold blooded traits,oos
